Ano,Região Geográfica,Unidade da Federação,Município,Total,Educacao Infantil,Ensino Fundamental,Ensino Médio,Educação Profissional,Educação de Jovens e Adultos (EJA),Federal,Estadual,Municipal,Privada,Urbana,Rural,Feminino,Masculino,Não Declarada,Branca,Preta,Parda,Amarela,Indígena,Até 3 anos,4 a 5 anos,6 a 10 anos,11 a 14 anos,15 a 17 anos,18 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 anos ou mais
2015, Sul  , Santa Catarina  , Rio do Campo  ,1480,325,898,212,0,45,0,1012,468,0,1119,361,713,767,448,956,3,69,4,0,144,168,471,377,259,32,10,3,4,6,6
2015, Sul  , Santa Catarina  , Rio do Oeste  ,1470,297,899,231,0,43,0,673,797,0,1191,279,749,721,171,1247,11,40,1,0,139,143,455,407,272,21,14,4,1,6,8
2015, Sul  , Santa Catarina  , Rio do Sul  ,17203,4356,7936,2867,1089,1357,463,5789,5854,5097,16700,503,8298,8905,10065,6777,68,266,21,6,2604,1657,4216,3589,3046,410,642,374,245,183,237
2015, Sul  , Santa Catarina  , Rio dos Cedros  ,1647,398,1012,235,0,2,0,617,1030,0,965,682,789,858,233,1305,6,102,1,0,206,183,507,453,288,8,0,0,0,1,1
2015, Sul  , Santa Catarina  , Rio Fortuna  ,964,262,445,174,0,83,0,432,532,0,964,0,438,526,363,577,4,19,0,1,141,113,263,201,168,32,28,4,5,2,7
2015, Sul  , Santa Catarina  , Rio Negrinho  ,10033,1899,5581,1766,94,749,0,2603,6696,734,9477,556,5001,5032,3144,6212,25,638,12,2,850,980,3025,2690,1733,195,159,79,88,91,143
2015, Sul  , Santa Catarina  , Rio Rufino  ,554,93,319,126,0,16,0,385,169,0,437,117,274,280,295,210,13,35,0,1,54,40,152,152,120,17,12,2,1,0,4
2015, Sul  , Santa Catarina  , Riqueza  ,1029,152,624,217,70,36,0,572,457,0,725,304,449,580,109,744,11,160,4,1,50,96,315,289,223,20,11,7,2,9,7
2015, Sul  , Santa Catarina  , Rodeio  ,1860,486,1132,221,0,21,0,642,1218,0,1860,0,884,976,307,1518,3,30,2,0,249,222,624,443,292,9,0,4,0,8,9
2015, Sul  , Santa Catarina  , Romelândia  ,990,166,649,160,0,15,0,701,287,2,789,201,471,519,56,820,15,99,0,0,79,89,299,298,199,12,5,3,2,1,3
